crab_year,fishery,size,total,target_stock
1994,QO95,126,13,BSSC
1994,QO95,127,11,BSSC
1994,QO95,128,17,BSSC
1994,QO95,129,13,BSSC
1994,QO95,130,16,BSSC
1994,QO95,131,10,BSSC
1994,QO95,132,8,BSSC
1994,QO95,133,3,BSSC
1994,QO95,134,3,BSSC
1994,QO95,135,8,BSSC
1994,QO95,136,6,BSSC
1994,QO95,137,6,BSSC
1994,QO95,138,4,BSSC
1994,QO95,139,1,BSSC
1994,QO95,141,2,BSSC
1994,QO95,143,1,BSSC
1994,QO95,152,1,BSSC
1994,QT94,118,1,WBT
1994,QT94,136,1,WBT
1994,QT94,137,2,WBT
1994,QT94,138,2,WBT
1994,QT94,139,2,WBT
1994,QT94,141,1,WBT
1994,QT94,142,4,WBT
1994,QT94,143,3,WBT
1994,QT94,144,3,WBT
1994,QT94,145,2,WBT
1994,QT94,146,1,WBT
1994,QT94,147,1,WBT
1994,QT94,148,1,WBT
1994,QT94,149,1,WBT
1995,QO96,75,1,BSSC
1995,QO96,78,2,BSSC
1995,QO96,79,1,BSSC
1995,QO96,80,4,BSSC
1995,QO96,81,3,BSSC
1995,QO96,82,3,BSSC
1995,QO96,83,2,BSSC
1995,QO96,84,5,BSSC
1995,QO96,85,9,BSSC
1995,QO96,86,9,BSSC
1995,QO96,87,3,BSSC
1995,QO96,88,13,BSSC
1995,QO96,89,8,BSSC
1995,QO96,90,15,BSSC
1995,QO96,91,35,BSSC
1995,QO96,92,53,BSSC
1995,QO96,93,65,BSSC
1995,QO96,94,66,BSSC
1995,QO96,95,100,BSSC
1995,QO96,96,120,BSSC
1995,QO96,97,257,BSSC
1995,QO96,98,236,BSSC
1995,QO96,99,239,BSSC
1995,QO96,100,300,BSSC
1995,QO96,101,265,BSSC
1995,QO96,102,402,BSSC
1995,QO96,103,411,BSSC
1995,QO96,104,389,BSSC
1995,QO96,105,289,BSSC
1995,QO96,106,310,BSSC
1995,QO96,107,418,BSSC
1995,QO96,108,452,BSSC
1995,QO96,109,263,BSSC
1995,QO96,110,305,BSSC
1995,QO96,111,290,BSSC
1995,QO96,112,335,BSSC
1995,QO96,113,319,BSSC
1995,QO96,114,285,BSSC
1995,QO96,115,256,BSSC
1995,QO96,116,232,BSSC
1995,QO96,117,231,BSSC
1995,QO96,118,219,BSSC
1995,QO96,119,166,BSSC
1995,QO96,120,135,BSSC
1995,QO96,121,130,BSSC
1995,QO96,122,123,BSSC
1995,QO96,123,131,BSSC
1995,QO96,124,103,BSSC
1995,QO96,125,72,BSSC
1995,QO96,126,63,BSSC
1995,QO96,127,48,BSSC
1995,QO96,128,48,BSSC
1995,QO96,129,33,BSSC
1995,QO96,130,31,BSSC
1995,QO96,131,25,BSSC
1995,QO96,132,26,BSSC
1995,QO96,133,16,BSSC
1995,QO96,134,9,BSSC
1995,QO96,135,13,BSSC
1995,QO96,136,15,BSSC
1995,QO96,137,5,BSSC
1995,QO96,138,11,BSSC
1995,QO96,139,4,BSSC
1995,QO96,140,9,BSSC
1995,QO96,141,5,BSSC
1995,QO96,142,3,BSSC
1995,QO96,143,1,BSSC
1995,QO96,145,2,BSSC
1995,QO96,146,2,BSSC
1995,QO96,147,1,BSSC
1995,QO96,151,1,BSSC
1996,QO97,72,1,BSSC
1996,QO97,74,1,BSSC
1996,QO97,75,1,BSSC
1996,QO97,76,2,BSSC
1996,QO97,77,1,BSSC
1996,QO97,82,2,BSSC
1996,QO97,83,1,BSSC
1996,QO97,84,3,BSSC
1996,QO97,85,1,BSSC
1996,QO97,86,2,BSSC
1996,QO97,87,3,BSSC
1996,QO97,88,2,BSSC
1996,QO97,89,3,BSSC
1996,QO97,90,12,BSSC
1996,QO97,91,10,BSSC
1996,QO97,92,16,BSSC
1996,QO97,93,20,BSSC
1996,QO97,94,31,BSSC
1996,QO97,95,50,BSSC
1996,QO97,96,62,BSSC
1996,QO97,97,113,BSSC
1996,QO97,98,144,BSSC
1996,QO97,99,181,BSSC
1996,QO97,100,205,BSSC
1996,QO97,101,215,BSSC
1996,QO97,102,239,BSSC
1996,QO97,103,257,BSSC
1996,QO97,104,207,BSSC
1996,QO97,105,234,BSSC
1996,QO97,106,209,BSSC
1996,QO97,107,223,BSSC
1996,QO97,108,240,BSSC
1996,QO97,109,160,BSSC
1996,QO97,110,162,BSSC
1996,QO97,111,131,BSSC
1996,QO97,112,136,BSSC
1996,QO97,113,111,BSSC
1996,QO97,114,97,BSSC
1996,QO97,115,89,BSSC
1996,QO97,116,72,BSSC
1996,QO97,117,66,BSSC
1996,QO97,118,80,BSSC
1996,QO97,119,55,BSSC
1996,QO97,120,61,BSSC
1996,QO97,121,50,BSSC
1996,QO97,122,51,BSSC
1996,QO97,123,56,BSSC
1996,QO97,124,32,BSSC
1996,QO97,125,21,BSSC
1996,QO97,126,22,BSSC
1996,QO97,127,33,BSSC
1996,QO97,128,21,BSSC
1996,QO97,129,15,BSSC
1996,QO97,130,16,BSSC
1996,QO97,131,13,BSSC
1996,QO97,132,15,BSSC
1996,QO97,133,15,BSSC
1996,QO97,134,8,BSSC
1996,QO97,135,9,BSSC
1996,QO97,136,4,BSSC
1996,QO97,137,3,BSSC
1996,QO97,138,4,BSSC
1996,QO97,139,8,BSSC
1996,QO97,140,2,BSSC
1996,QO97,141,1,BSSC
1996,QO97,143,2,BSSC
1996,QO97,144,2,BSSC
1996,QO97,145,2,BSSC
1996,QO97,146,1,BSSC
1996,QO97,147,1,BSSC
1996,QO97,148,1,BSSC
1996,QO97,149,1,BSSC
1996,QO97,153,1,BSSC
1996,QO97,158,1,BSSC
1997,QO98,71,1,BSSC
1997,QO98,73,1,BSSC
1997,QO98,76,1,BSSC
1997,QO98,77,1,BSSC
1997,QO98,78,2,BSSC
1997,QO98,80,1,BSSC
1997,QO98,81,2,BSSC
1997,QO98,82,3,BSSC
1997,QO98,83,6,BSSC
1997,QO98,84,5,BSSC
1997,QO98,85,6,BSSC
1997,QO98,86,10,BSSC
1997,QO98,87,9,BSSC
1997,QO98,88,14,BSSC
1997,QO98,89,12,BSSC
1997,QO98,90,21,BSSC
1997,QO98,91,23,BSSC
1997,QO98,92,26,BSSC
1997,QO98,93,41,BSSC
1997,QO98,94,81,BSSC
1997,QO98,95,133,BSSC
1997,QO98,96,213,BSSC
1997,QO98,97,370,BSSC
1997,QO98,98,425,BSSC
1997,QO98,99,497,BSSC
1997,QO98,100,861,BSSC
1997,QO98,101,997,BSSC
1997,QO98,102,1357,BSSC
1997,QO98,103,1646,BSSC
1997,QO98,104,1723,BSSC
1997,QO98,105,1601,BSSC
1997,QO98,106,1813,BSSC
1997,QO98,107,1761,BSSC
1997,QO98,108,2167,BSSC
1997,QO98,109,1717,BSSC
1997,QO98,110,1868,BSSC
1997,QO98,111,1672,BSSC
1997,QO98,112,1639,BSSC
1997,QO98,113,1639,BSSC
1997,QO98,114,1395,BSSC
1997,QO98,115,1212,BSSC
1997,QO98,116,1150,BSSC
1997,QO98,117,1157,BSSC
1997,QO98,118,1088,BSSC
1997,QO98,119,712,BSSC
1997,QO98,120,738,BSSC
1997,QO98,121,617,BSSC
1997,QO98,122,517,BSSC
1997,QO98,123,531,BSSC
1997,QO98,124,373,BSSC
1997,QO98,125,304,BSSC
1997,QO98,126,310,BSSC
1997,QO98,127,227,BSSC
1997,QO98,128,228,BSSC
1997,QO98,129,113,BSSC
1997,QO98,130,138,BSSC
1997,QO98,131,98,BSSC
1997,QO98,132,90,BSSC
1997,QO98,133,57,BSSC
1997,QO98,134,51,BSSC
1997,QO98,135,37,BSSC
1997,QO98,136,36,BSSC
1997,QO98,137,17,BSSC
1997,QO98,138,11,BSSC
1997,QO98,139,9,BSSC
1997,QO98,140,5,BSSC
1997,QO98,141,3,BSSC
1997,QO98,142,6,BSSC
1997,QO98,143,4,BSSC
1997,QO98,144,3,BSSC
1997,QO98,145,1,BSSC
1997,QO98,147,1,BSSC
1997,QO98,148,1,BSSC
1997,QO98,154,1,BSSC
1998,QO99,70,1,BSSC
1998,QO99,73,1,BSSC
1998,QO99,75,1,BSSC
1998,QO99,76,1,BSSC
1998,QO99,78,2,BSSC
1998,QO99,79,3,BSSC
1998,QO99,80,4,BSSC
1998,QO99,81,4,BSSC
1998,QO99,82,5,BSSC
1998,QO99,83,1,BSSC
1998,QO99,84,3,BSSC
1998,QO99,85,5,BSSC
1998,QO99,86,6,BSSC
1998,QO99,87,8,BSSC
1998,QO99,88,16,BSSC
1998,QO99,89,16,BSSC
1998,QO99,90,41,BSSC
1998,QO99,91,29,BSSC
1998,QO99,92,55,BSSC
1998,QO99,93,82,BSSC
1998,QO99,94,113,BSSC
1998,QO99,95,141,BSSC
1998,QO99,96,178,BSSC
1998,QO99,97,391,BSSC
1998,QO99,98,431,BSSC
1998,QO99,99,425,BSSC
1998,QO99,100,856,BSSC
1998,QO99,101,833,BSSC
1998,QO99,102,1180,BSSC
1998,QO99,103,1434,BSSC
1998,QO99,104,1702,BSSC
1998,QO99,105,1708,BSSC
1998,QO99,106,1677,BSSC
1998,QO99,107,1925,BSSC
1998,QO99,108,2362,BSSC
1998,QO99,109,1705,BSSC
1998,QO99,110,2072,BSSC
1998,QO99,111,1621,BSSC
1998,QO99,112,1946,BSSC
1998,QO99,113,1887,BSSC
1998,QO99,114,1871,BSSC
1998,QO99,115,1676,BSSC
1998,QO99,116,1272,BSSC
1998,QO99,117,1517,BSSC
1998,QO99,118,1280,BSSC
1998,QO99,119,824,BSSC
1998,QO99,120,945,BSSC
1998,QO99,121,663,BSSC
1998,QO99,122,537,BSSC
1998,QO99,123,529,BSSC
1998,QO99,124,407,BSSC
1998,QO99,125,257,BSSC
1998,QO99,126,239,BSSC
1998,QO99,127,190,BSSC
1998,QO99,128,146,BSSC
1998,QO99,129,88,BSSC
1998,QO99,130,85,BSSC
1998,QO99,131,60,BSSC
1998,QO99,132,42,BSSC
1998,QO99,133,34,BSSC
1998,QO99,134,24,BSSC
1998,QO99,135,14,BSSC
1998,QO99,136,14,BSSC
1998,QO99,137,8,BSSC
1998,QO99,138,6,BSSC
1998,QO99,139,1,BSSC
1998,QO99,140,2,BSSC
1998,QO99,141,1,BSSC
1998,QO99,143,1,BSSC
1998,QO99,145,1,BSSC
1999,QO00,85,1,BSSC
1999,QO00,90,2,BSSC
1999,QO00,91,3,BSSC
1999,QO00,92,4,BSSC
1999,QO00,93,4,BSSC
1999,QO00,94,2,BSSC
1999,QO00,95,9,BSSC
1999,QO00,96,9,BSSC
1999,QO00,97,17,BSSC
1999,QO00,98,23,BSSC
1999,QO00,99,26,BSSC
1999,QO00,100,42,BSSC
1999,QO00,101,29,BSSC
1999,QO00,102,50,BSSC
1999,QO00,103,71,BSSC
1999,QO00,104,80,BSSC
1999,QO00,105,82,BSSC
1999,QO00,106,79,BSSC
1999,QO00,107,84,BSSC
1999,QO00,108,103,BSSC
1999,QO00,109,94,BSSC
1999,QO00,110,104,BSSC
1999,QO00,111,94,BSSC
1999,QO00,112,95,BSSC
1999,QO00,113,101,BSSC
1999,QO00,114,81,BSSC
1999,QO00,115,81,BSSC
1999,QO00,116,92,BSSC
1999,QO00,117,92,BSSC
1999,QO00,118,72,BSSC
1999,QO00,119,51,BSSC
1999,QO00,120,61,BSSC
1999,QO00,121,44,BSSC
1999,QO00,122,40,BSSC
1999,QO00,123,26,BSSC
1999,QO00,124,35,BSSC
1999,QO00,125,32,BSSC
1999,QO00,126,12,BSSC
1999,QO00,127,17,BSSC
1999,QO00,128,8,BSSC
1999,QO00,129,9,BSSC
1999,QO00,130,4,BSSC
1999,QO00,131,5,BSSC
1999,QO00,132,2,BSSC
1999,QO00,133,3,BSSC
1999,QO00,134,1,BSSC
1999,QO00,135,1,BSSC
1999,QO00,137,1,BSSC
1999,QO00,140,1,BSSC
2000,QO01,71,1,BSSC
2000,QO01,75,1,BSSC
2000,QO01,79,1,BSSC
2000,QO01,83,1,BSSC
2000,QO01,84,2,BSSC
2000,QO01,86,2,BSSC
2000,QO01,87,2,BSSC
2000,QO01,88,4,BSSC
2000,QO01,89,2,BSSC
2000,QO01,90,2,BSSC
2000,QO01,91,3,BSSC
2000,QO01,92,3,BSSC
2000,QO01,93,2,BSSC
2000,QO01,94,5,BSSC
2000,QO01,95,14,BSSC
2000,QO01,96,9,BSSC
2000,QO01,97,22,BSSC
2000,QO01,98,26,BSSC
2000,QO01,99,29,BSSC
2000,QO01,100,46,BSSC
2000,QO01,101,62,BSSC
2000,QO01,102,90,BSSC
2000,QO01,103,75,BSSC
2000,QO01,104,120,BSSC
2000,QO01,105,115,BSSC
2000,QO01,106,130,BSSC
2000,QO01,107,162,BSSC
2000,QO01,108,171,BSSC
2000,QO01,109,177,BSSC
2000,QO01,110,196,BSSC
2000,QO01,111,222,BSSC
2000,QO01,112,255,BSSC
2000,QO01,113,224,BSSC
2000,QO01,114,267,BSSC
2000,QO01,115,236,BSSC
2000,QO01,116,208,BSSC
2000,QO01,117,218,BSSC
2000,QO01,118,195,BSSC
2000,QO01,119,181,BSSC
2000,QO01,120,183,BSSC
2000,QO01,121,164,BSSC
2000,QO01,122,144,BSSC
2000,QO01,123,133,BSSC
2000,QO01,124,92,BSSC
2000,QO01,125,81,BSSC
2000,QO01,126,63,BSSC
2000,QO01,127,48,BSSC
2000,QO01,128,37,BSSC
2000,QO01,129,33,BSSC
2000,QO01,130,16,BSSC
2000,QO01,131,12,BSSC
2000,QO01,132,14,BSSC
2000,QO01,133,20,BSSC
2000,QO01,134,5,BSSC
2000,QO01,135,6,BSSC
2000,QO01,136,3,BSSC
2000,QO01,137,2,BSSC
2000,QO01,138,4,BSSC
2000,QO01,139,1,BSSC
2000,QO01,140,1,BSSC
2000,QO01,144,1,BSSC
2000,QO01,146,1,BSSC
2000,QO01,147,1,BSSC
2001,QO02,73,2,BSSC
2001,QO02,75,4,BSSC
2001,QO02,77,2,BSSC
2001,QO02,78,1,BSSC
2001,QO02,79,1,BSSC
2001,QO02,80,2,BSSC
2001,QO02,81,2,BSSC
2001,QO02,82,1,BSSC
2001,QO02,83,2,BSSC
2001,QO02,84,3,BSSC
2001,QO02,85,3,BSSC
2001,QO02,86,9,BSSC
2001,QO02,87,5,BSSC
2001,QO02,88,4,BSSC
2001,QO02,89,8,BSSC
2001,QO02,90,22,BSSC
2001,QO02,91,21,BSSC
2001,QO02,92,31,BSSC
2001,QO02,93,28,BSSC
2001,QO02,94,57,BSSC
2001,QO02,95,74,BSSC
2001,QO02,96,109,BSSC
2001,QO02,97,110,BSSC
2001,QO02,98,163,BSSC
2001,QO02,99,184,BSSC
2001,QO02,100,337,BSSC
2001,QO02,101,316,BSSC
2001,QO02,102,428,BSSC
2001,QO02,103,360,BSSC
2001,QO02,104,490,BSSC
2001,QO02,105,494,BSSC
2001,QO02,106,407,BSSC
2001,QO02,107,474,BSSC
2001,QO02,108,537,BSSC
2001,QO02,109,394,BSSC
2001,QO02,110,484,BSSC
2001,QO02,111,449,BSSC
2001,QO02,112,578,BSSC
2001,QO02,113,436,BSSC
2001,QO02,114,455,BSSC
2001,QO02,115,444,BSSC
2001,QO02,116,425,BSSC
2001,QO02,117,441,BSSC
2001,QO02,118,395,BSSC
2001,QO02,119,288,BSSC
2001,QO02,120,328,BSSC
2001,QO02,121,255,BSSC
2001,QO02,122,245,BSSC
2001,QO02,123,222,BSSC
2001,QO02,124,167,BSSC
2001,QO02,125,153,BSSC
2001,QO02,126,117,BSSC
2001,QO02,127,100,BSSC
2001,QO02,128,71,BSSC
2001,QO02,129,60,BSSC
2001,QO02,130,43,BSSC
2001,QO02,131,26,BSSC
2001,QO02,132,23,BSSC
2001,QO02,133,10,BSSC
2001,QO02,134,12,BSSC
2001,QO02,135,7,BSSC
2001,QO02,136,4,BSSC
2001,QO02,137,3,BSSC
2001,QO02,138,2,BSSC
2001,QO02,139,1,BSSC
2001,QO02,140,2,BSSC
2001,QO02,146,1,BSSC
2002,QO03,73,1,BSSC
2002,QO03,79,1,BSSC
2002,QO03,81,1,BSSC
2002,QO03,86,2,BSSC
2002,QO03,88,3,BSSC
2002,QO03,90,2,BSSC
2002,QO03,91,2,BSSC
2002,QO03,92,3,BSSC
2002,QO03,93,2,BSSC
2002,QO03,94,2,BSSC
2002,QO03,95,6,BSSC
2002,QO03,96,12,BSSC
2002,QO03,97,7,BSSC
2002,QO03,98,20,BSSC
2002,QO03,99,13,BSSC
2002,QO03,100,24,BSSC
2002,QO03,101,29,BSSC
2002,QO03,102,43,BSSC
2002,QO03,103,49,BSSC
2002,QO03,104,42,BSSC
2002,QO03,105,44,BSSC
2002,QO03,106,54,BSSC
2002,QO03,107,57,BSSC
2002,QO03,108,47,BSSC
2002,QO03,109,50,BSSC
2002,QO03,110,32,BSSC
2002,QO03,111,44,BSSC
2002,QO03,112,52,BSSC
2002,QO03,113,39,BSSC
2002,QO03,114,43,BSSC
2002,QO03,115,39,BSSC
2002,QO03,116,36,BSSC
2002,QO03,117,37,BSSC
2002,QO03,118,31,BSSC
2002,QO03,119,24,BSSC
2002,QO03,120,16,BSSC
2002,QO03,121,12,BSSC
2002,QO03,122,16,BSSC
2002,QO03,123,10,BSSC
2002,QO03,124,12,BSSC
2002,QO03,125,7,BSSC
2002,QO03,126,9,BSSC
2002,QO03,127,5,BSSC
2002,QO03,128,5,BSSC
2002,QO03,129,1,BSSC
2002,QO03,130,6,BSSC
2002,QO03,132,2,BSSC
2002,QO03,137,2,BSSC
2003,QO04,69,1,BSSC
2003,QO04,80,1,BSSC
2003,QO04,82,1,BSSC
2003,QO04,85,1,BSSC
2003,QO04,89,2,BSSC
2003,QO04,92,1,BSSC
2003,QO04,94,3,BSSC
2003,QO04,95,5,BSSC
2003,QO04,96,2,BSSC
2003,QO04,97,8,BSSC
2003,QO04,98,4,BSSC
2003,QO04,99,11,BSSC
2003,QO04,100,19,BSSC
2003,QO04,101,21,BSSC
2003,QO04,102,17,BSSC
2003,QO04,103,31,BSSC
2003,QO04,104,47,BSSC
2003,QO04,105,44,BSSC
2003,QO04,106,50,BSSC
2003,QO04,107,33,BSSC
2003,QO04,108,42,BSSC
2003,QO04,109,28,BSSC
2003,QO04,110,48,BSSC
2003,QO04,111,32,BSSC
2003,QO04,112,47,BSSC
2003,QO04,113,37,BSSC
2003,QO04,114,36,BSSC
2003,QO04,115,30,BSSC
2003,QO04,116,29,BSSC
2003,QO04,117,39,BSSC
2003,QO04,118,47,BSSC
2003,QO04,119,30,BSSC
2003,QO04,120,42,BSSC
2003,QO04,121,25,BSSC
2003,QO04,122,26,BSSC
2003,QO04,123,13,BSSC
2003,QO04,124,17,BSSC
2003,QO04,125,15,BSSC
2003,QO04,126,9,BSSC
2003,QO04,127,11,BSSC
2003,QO04,128,5,BSSC
2003,QO04,129,4,BSSC
2003,QO04,130,4,BSSC
2003,QO04,132,1,BSSC
2003,QO04,133,1,BSSC
2003,QO04,134,2,BSSC
2003,QO04,140,1,BSSC
2004,QO05o,90,1,BSSC
2004,QO05o,92,1,BSSC
2004,QO05o,94,1,BSSC
2004,QO05o,95,1,BSSC
2004,QO05o,96,1,BSSC
2004,QO05o,97,2,BSSC
2004,QO05o,98,4,BSSC
2004,QO05o,99,3,BSSC
2004,QO05o,100,4,BSSC
2004,QO05o,101,6,BSSC
2004,QO05o,102,8,BSSC
2004,QO05o,103,12,BSSC
2004,QO05o,104,4,BSSC
2004,QO05o,105,8,BSSC
2004,QO05o,106,4,BSSC
2004,QO05o,107,9,BSSC
2004,QO05o,108,15,BSSC
2004,QO05o,109,5,BSSC
2004,QO05o,110,13,BSSC
2004,QO05o,111,12,BSSC
2004,QO05o,112,13,BSSC
2004,QO05o,113,20,BSSC
2004,QO05o,114,10,BSSC
2004,QO05o,115,16,BSSC
2004,QO05o,116,11,BSSC
2004,QO05o,117,17,BSSC
2004,QO05o,118,12,BSSC
2004,QO05o,119,14,BSSC
2004,QO05o,120,12,BSSC
2004,QO05o,121,9,BSSC
2004,QO05o,122,16,BSSC
2004,QO05o,123,10,BSSC
2004,QO05o,124,10,BSSC
2004,QO05o,125,8,BSSC
